Review,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,text_stemming
@stelunara aduh by kayaknya yang itu gak dulu itu lagu tersakit aku jg by gamau bunuh diri ,aduh by kayaknya yang itu gak dulu itu lagu tersakit aku jg by gamau bunuh diri,aduh by kayaknya yang itu gak dulu itu lagu tersakit aku jg by gamau bunuh diri,aduh by kayaknya yang itu tidak dulu itu lagu tersakit aku juga by tidak mau bunuh diri,"['aduh', 'by', 'kayaknya', 'yang', 'itu', 'tidak', 'dulu', 'itu', 'lagu', 'tersakit', 'aku', 'juga', 'by', 'tidak', 'mau', 'bunuh', 'diri']","['aduh', 'kayaknya', 'lagu', 'tersakit', 'bunuh']",aduh kayaknya lagu tersakit bunuh,aduh kayak lagu sakit bunuh
@antn_ja Pada bunuh diri semua endingnya ,Pada bunuh diri semua endingnya,pada bunuh diri semua endingnya,pada bunuh diri semua endingnya,"['pada', 'bunuh', 'diri', 'semua', 'endingnya']","['bunuh', 'endingnya']",bunuh endingnya,bunuh endingnya
@deviilworkk Bunuh diri aje anying sapa peduli,Bunuh diri aje anying sapa peduli,bunuh diri aje anying sapa peduli,bunuh diri saja anying sapa peduli,"['bunuh', 'diri', 'saja', 'anying', 'sapa', 'peduli']","['bunuh', 'anying', 'sapa', 'peduli']",bunuh anying sapa peduli,bunuh anying sapa peduli
gws van ajg gue kek bunuh diri,gws van ajg gue kek bunuh diri,gws van ajg gue kek bunuh diri,gws van ajg gue kayak bunuh diri,"['gws', 'van', 'ajg', 'gue', 'kayak', 'bunuh', 'diri']","['gws', 'van', 'ajg', 'gue', 'kayak', 'bunuh']",gws van ajg gue kayak bunuh,gws van ajg gue kayak bunuh
Ini percobaan bunuh diri gue ini ya Allah black hair dua duanya tambah mullet 1 https://t.co/FXryX3cFNv,Ini percobaan bunuh diri gue ini ya Allah black hair dua duanya tambah mullet,ini percobaan bunuh diri gue ini ya allah black hair dua duanya tambah mullet,ini percobaan bunuh diri gue ini ya allah black hair dua duanya tambah mullet,"['ini', 'percobaan', 'bunuh', 'diri', 'gue', 'ini', 'ya', 'allah', 'black', 'hair', 'dua', 'duanya', 'tambah', 'mullet']","['percobaan', 'bunuh', 'gue', 'allah', 'black', 'hair', 'duanya', 'mullet']",percobaan bunuh gue allah black hair duanya mullet,coba bunuh gue allah black hair dua mullet
Kenapa junhee bunuh diri ya. Ga abis pikir.,Kenapa junhee bunuh diri ya Ga abis pikir,kenapa junhee bunuh diri ya ga abis pikir,kenapa junhee bunuh diri ya tidak habis pikir,"['kenapa', 'junhee', 'bunuh', 'diri', 'ya', 'tidak', 'habis', 'pikir']","['junhee', 'bunuh', 'habis', 'pikir']",junhee bunuh habis pikir,junhee bunuh habis pikir
Yallah ini kemana lagi ga tahan yallah mau bunuh diri ga tahan banget banget banget cape banget,Yallah ini kemana lagi ga tahan yallah mau bunuh diri ga tahan banget banget banget cape banget,yallah ini kemana lagi ga tahan yallah mau bunuh diri ga tahan banget banget banget cape banget,yallah ini kemana lagi tidak tahan yallah mau bunuh diri tidak tahan banget banget banget capek banget,"['yallah', 'ini', 'kemana', 'lagi', 'tidak', 'tahan', 'yallah', 'mau', 'bunuh', 'diri', 'tidak', 'tahan', 'banget', 'banget', 'banget', 'capek', 'banget']","['yallah', 'kemana', 'tahan', 'yallah', 'bunuh', 'tahan', 'banget', 'banget', 'banget', 'capek', 'banget']",yallah kemana tahan yallah bunuh tahan banget banget banget capek banget,yallah mana tahan yallah bunuh tahan banget banget banget capek banget
Aku shock banget ternyata dewi ayu cucunya ma iyang dan dewi ayu nikah sama ma gedik buat bikin ma gedik bunuh diri di bukit seberang bukit ma iyang bunuh diri namain bukit itu bukit ma gedik sama kaya bukit ma iyang,Aku shock banget ternyata dewi ayu cucunya ma iyang dan dewi ayu nikah sama ma gedik buat bikin ma gedik bunuh diri di bukit seberang bukit ma iyang bunuh diri namain bukit itu bukit ma gedik sama kaya bukit ma iyang,aku shock banget ternyata dewi ayu cucunya ma iyang dan dewi ayu nikah sama ma gedik buat bikin ma gedik bunuh diri di bukit seberang bukit ma iyang bunuh diri namain bukit itu bukit ma gedik sama kaya bukit ma iyang,aku shock banget ternyata dewi ayu cucunya sama iyang dan dewi ayu nikah sama sama gedik buat bikin sama gedik bunuh diri di bukit seberang bukit sama iyang bunuh diri namai bukit itu bukit sama gedik sama kayak bukit sama iyang,"['aku', 'shock', 'banget', 'ternyata', 'dewi', 'ayu', 'cucunya', 'sama', 'iyang', 'dan', 'dewi', 'ayu', 'nikah', 'sama', 'sama', 'gedik', 'buat', 'bikin', 'sama', 'gedik', 'bunuh', 'diri', 'di', 'bukit', 'seberang', 'bukit', 'sama', 'iyang', 'bunuh', 'diri', 'namai', 'bukit', 'itu', 'bukit', 'sama', 'gedik', 'sama', 'kayak', 'bukit', 'sama', 'iyang']","['shock', 'banget', 'dewi', 'ayu', 'cucunya', 'iyang', 'dewi', 'ayu', 'nikah', 'gedik', 'bikin', 'gedik', 'bunuh', 'bukit', 'seberang', 'bukit', 'iyang', 'bunuh', 'namai', 'bukit', 'bukit', 'gedik', 'kayak', 'bukit', 'iyang']",shock banget dewi ayu cucunya iyang dewi ayu nikah gedik bikin gedik bunuh bukit seberang bukit iyang bunuh namai bukit bukit gedik kayak bukit iyang,shock banget dewi ayu cucu iyang dewi ayu nikah gedik bikin gedik bunuh bukit seberang bukit iyang bunuh nama bukit bukit gedik kayak bukit iyang
@heybubble13 Kayanya disini aku pinjamannya yang paling banyak Spnjam: 21jt Spylater: 13jt Gopaypinjam: 11jt Dadaku sakit banget pengen bunuh diri,Kayanya disini aku pinjamannya yang paling banyak Spnjam jt Spylater jt Gopaypinjam jt Dadaku sakit banget pengen bunuh diri,kayanya disini aku pinjamannya yang paling banyak spnjam jt spylater jt gopaypinjam jt dadaku sakit banget pengen bunuh diri,kayanya disini aku pinjamannya yang paling banyak spnjam juta spylater juta gopaypinjam juta dadaku sakit banget pengin bunuh diri,"['kayanya', 'disini', 'aku', 'pinjamannya', 'yang', 'paling', 'banyak', 'spnjam', 'juta', 'spylater', 'juta', 'gopaypinjam', 'juta', 'dadaku', 'sakit', 'banget', 'pengin', 'bunuh', 'diri']","['kayanya', 'pinjamannya', 'spnjam', 'juta', 'spylater', 'juta', 'gopaypinjam', 'juta', 'dadaku', 'sakit', 'banget', 'pengin', 'bunuh']",kayanya pinjamannya spnjam juta spylater juta gopaypinjam juta dadaku sakit banget pengin bunuh,kaya pinjam spnjam juta spylater juta gopaypinjam juta dada sakit banget pengin bunuh
menurut gw bom.bunuh diri ini setelah khs muncul semua,menurut gw bom bunuh diri ini setelah khs muncul semua,menurut gw bom bunuh diri ini setelah khs muncul semua,menurut gue bom bunuh diri ini setelah khs muncul semua,"['menurut', 'gue', 'bom', 'bunuh', 'diri', 'ini', 'setelah', 'khs', 'muncul', 'semua']","['gue', 'bom', 'bunuh', 'khs', 'muncul']",gue bom bunuh khs muncul,gue bom bunuh khs muncul
