Review,Suicide,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,text_stemming,Skor,Sentimen,Label
membuat makan siang,Not Suicide post,membuat makan siang,membuat makan siang,membuat makan siang,"['membuat', 'makan', 'siang']","['makan', 'siang']",makan siang,makan siang,-1.0,negatif,0
@Alexia Anda menginginkan uangnya.,Not Suicide post,Anda menginginkan uangnya,anda menginginkan uangnya,anda menginginkan uangnya,"['anda', 'menginginkan', 'uangnya']",['uangnya'],uangnya,uang,0.0,negatif,0
@dizzyhrvy omong kosong itu membutuhkan waktu lama bagi saya untuk menyatukannya.aku akan tidur selama berhari-hari,Potential Suicide post ,omong kosong itu membutuhkan waktu lama bagi saya untuk menyatukannya aku akan tidur selama berhari hari,omong kosong itu membutuhkan waktu lama bagi saya untuk menyatukannya aku akan tidur selama berhari hari,omong kosong itu membutuhkan waktu lama bagi saya untuk menyatukannya aku akan tidur selama berhari hari,"['omong', 'kosong', 'itu', 'membutuhkan', 'waktu', 'lama', 'bagi', 'saya', 'untuk', 'menyatukannya', 'aku', 'akan', 'tidur', 'selama', 'berhari', 'hari']","['omong', 'kosong', 'membutuhkan', 'menyatukannya', 'tidur', 'berhari']",omong kosong membutuhkan menyatukannya tidur berhari,omong kosong butuh satu tidur hari,-17.0,negatif,0
@jnaylor #kiwitweets Hai Jer!Sejak kapan kamu mulai berkicau?,Not Suicide post,Hai Jer Sejak kapan kamu mulai berkicau,hai jer sejak kapan kamu mulai berkicau,hai jer sejak kapan kamu mulai berkicau,"['hai', 'jer', 'sejak', 'kapan', 'kamu', 'mulai', 'berkicau']","['hai', 'jer', 'berkicau']",hai jer berkicau,hai jer kicau,6.0,positif,1
Mencoba &quot;Perpustakaan Lezat 2&quot;dengan hasil yang beragam Bar code pikir saya ingin menambahkan bra sport daripada bor Aplikasi keren lho!,Not Suicide post,Mencoba quot Perpustakaan Lezat quot dengan hasil yang beragam Bar code pikir saya ingin menambahkan bra sport daripada bor Aplikasi keren lho,mencoba quot perpustakaan lezat quot dengan hasil yang beragam bar code pikir saya ingin menambahkan bra sport daripada bor aplikasi keren lho,mencoba quot perpustakaan lezat quot dengan hasil yang beragam bar code pikir saya ingin menambahkan bra sport daripada bor aplikasi keren lho,"['mencoba', 'quot', 'perpustakaan', 'lezat', 'quot', 'dengan', 'hasil', 'yang', 'beragam', 'bar', 'code', 'pikir', 'saya', 'ingin', 'menambahkan', 'bra', 'sport', 'daripada', 'bor', 'aplikasi', 'keren', 'lho']","['mencoba', 'quot', 'perpustakaan', 'lezat', 'quot', 'hasil', 'beragam', 'bar', 'code', 'pikir', 'bra', 'sport', 'bor', 'aplikasi', 'keren', 'lho']",mencoba quot perpustakaan lezat quot hasil beragam bar code pikir bra sport bor aplikasi keren lho,coba quot pustaka lezat quot hasil agam bar code pikir bra sport bor aplikasi keren lho,10.0,positif,1
"@ValenValdez Oh, senang mendengarnya.Tapi apakah ini sudah berakhir?Atau Anda akan melanjutkannya setelah Pekan Suci?",Not Suicide post,Oh senang mendengarnya Tapi apakah ini sudah berakhir Atau Anda akan melanjutkannya setelah Pekan Suci,oh senang mendengarnya tapi apakah ini sudah berakhir atau anda akan melanjutkannya setelah pekan suci,oh senang mendengarnya tapi apakah ini sudah berakhir atau anda akan melanjutkannya setelah pekan suci,"['oh', 'senang', 'mendengarnya', 'tapi', 'apakah', 'ini', 'sudah', 'berakhir', 'atau', 'anda', 'akan', 'melanjutkannya', 'setelah', 'pekan', 'suci']","['oh', 'senang', 'mendengarnya', 'melanjutkannya', 'pekan', 'suci']",oh senang mendengarnya melanjutkannya pekan suci,oh senang dengar lanjut pekan suci,-8.0,negatif,0
@ mcm180 kamu punya daftar sesama #hotties?Anda harus membagikan Amigo yang itu!,Not Suicide post,mcm kamu punya daftar sesama Anda harus membagikan Amigo yang itu,mcm kamu punya daftar sesama anda harus membagikan amigo yang itu,macam kamu punya daftar sesama anda harus membagikan amigo yang itu,"['macam', 'kamu', 'punya', 'daftar', 'sesama', 'anda', 'harus', 'membagikan', 'amigo', 'yang', 'itu']","['daftar', 'membagikan', 'amigo']",daftar membagikan amigo,daftar bagi amigo,-7.0,negatif,0
"@jakepaul @jamescharles @LoganPaul Hanya karena Shane membuat serial tentangmu Bukan berarti orang-orang menganggapmu serius, yâ¦ https://t.co/D5rA0nua0U",Potential Suicide post ,Hanya karena Shane membuat serial tentangmu Bukan berarti orang orang menganggapmu serius yâ¦,hanya karena shane membuat serial tentangmu bukan berarti orang orang menganggapmu serius yâ¦,hanya karena shane membuat serial tentangmu bukan berarti orang orang menganggapmu serius yâ¦,"['hanya', 'karena', 'shane', 'membuat', 'serial', 'tentangmu', 'bukan', 'berarti', 'orang', 'orang', 'menganggapmu', 'serius', 'yâ¦']","['shane', 'serial', 'tentangmu', 'orang', 'orang', 'menganggapmu', 'serius', 'yâ¦']",shane serial tentangmu orang orang menganggapmu serius yâ¦,shane serial tentang orang orang anggap serius y,-7.0,negatif,0
saatnya bersantai di taman bir Warsawa,Not Suicide post,saatnya bersantai di taman bir Warsawa,saatnya bersantai di taman bir warsawa,saatnya bersantai di taman bir warsawa,"['saatnya', 'bersantai', 'di', 'taman', 'bir', 'warsawa']","['bersantai', 'taman', 'bir', 'warsawa']",bersantai taman bir warsawa,santa taman bir warsawa,-4.0,negatif,0
Aku benci hidupku lmao. Kuharap aku segera mati atau tiba-tiba aku terlalu lelah dengan semuanya,Potential Suicide post ,Aku benci hidupku lmao Kuharap aku segera mati atau tiba tiba aku terlalu lelah dengan semuanya,aku benci hidupku lmao kuharap aku segera mati atau tiba tiba aku terlalu lelah dengan semuanya,aku benci hidupku lmao kuharap aku segera mati atau tiba tiba aku terlalu lelah dengan semuanya,"['aku', 'benci', 'hidupku', 'lmao', 'kuharap', 'aku', 'segera', 'mati', 'atau', 'tiba', 'tiba', 'aku', 'terlalu', 'lelah', 'dengan', 'semuanya']","['benci', 'hidupku', 'lmao', 'kuharap', 'mati', 'lelah']",benci hidupku lmao kuharap mati lelah,benci hidup lmao harap mati lelah,-20.0,negatif,0
"Semua yang dilakukan kekasihmu untukmu adalah demi kelangsungan hidupnya, semua yang dilakukan ibumu untukmu adalah demi kelangsungan hidupmu.",Not Suicide post,Semua yang dilakukan kekasihmu untukmu adalah demi kelangsungan hidupnya semua yang dilakukan ibumu untukmu adalah demi kelangsungan hidupmu,semua yang dilakukan kekasihmu untukmu adalah demi kelangsungan hidupnya semua yang dilakukan ibumu untukmu adalah demi kelangsungan hidupmu,semua yang dilakukan kekasihmu untukmu adalah demi kelangsungan hidupnya semua yang dilakukan ibumu untukmu adalah demi kelangsungan hidupmu,"['semua', 'yang', 'dilakukan', 'kekasihmu', 'untukmu', 'adalah', 'demi', 'kelangsungan', 'hidupnya', 'semua', 'yang', 'dilakukan', 'ibumu', 'untukmu', 'adalah', 'demi', 'kelangsungan', 'hidupmu']","['kekasihmu', 'untukmu', 'kelangsungan', 'hidupnya', 'ibumu', 'untukmu', 'kelangsungan', 'hidupmu']",kekasihmu untukmu kelangsungan hidupnya ibumu untukmu kelangsungan hidupmu,kasih untuk langsung hidup ibu untuk langsung hidup,-3.0,negatif,0
