Tweet,Suicide
making some lunch,Not Suicide post
you want his money,Not Suicide post
that crap took me forever to put together i am going to go sleep for days,Potential Suicide post
hey jer since when did you start twittering,Not Suicide post
trying out delicious library 2 with mixed results the bar code thought i wanted to add a sport bra instead of a drill cool app tho,Not Suicide post
oh that is good to hear but is it over already or you will continue it after the holy week,Not Suicide post
you have got a list for fellow you gonna have to share that one amigo,Not Suicide post
just because shane made a series on you does not mean people take you seriously y,Potential Suicide post
time for some warsaw beer garden chilling,Not Suicide post
i hate my life lmao i hope i die soon or sumn i am too tired of everything,Potential Suicide post
everything your lover does for you is for her survival everything your mother does for you is for your survival,Not Suicide post
there is a stray cat on campus that looks like garfield the students are always feeding him so he is very fat like me,Not Suicide post
is on the go,Not Suicide post
i have an awful habit of avoiding writing papers by watching instagram live videos of the kids i used to nanny for,Potential Suicide post
haha well i have more but i do not have to do anything but file the rest away or delete them,Not Suicide post
goooooood how are you,Not Suicide post
rt i want to say i will never be active again not quite sure i do not have any reason to be on here anymore anyways bye everyone t,Potential Suicide post
focus on opportunities more than you focus on money,Not Suicide post
somebody please fucking kill me i am so in love,Potential Suicide post
i am at the point of the semester where i am so tired of everything i just want to roll over and die,Potential Suicide post
ger rus eng i want to die so much i do not want to be here anymore,Potential Suicide post
and i hate the fact if it is true dojae will do surgery dojae has to endure the pain alone without segye a,Potential Suicide post
rt when you re tired of living your life all you can do is close your eyes and go to sleep,Potential Suicide post
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post
enjoy i just cannot get into it this season but happy to know that you re getting your groove on,Not Suicide post
bloodstain on the carpet ready to gooo,Not Suicide post
really fuckin want this portion of my life to be over,Potential Suicide post
i am very very hungry do not anyone on my timeline dare to talk about food or i will seriously eat you up,Not Suicide post
mom always used to want everyone home before dark as though anything was out there at night that wasn t there during the day,Not Suicide post
i think you will do whatever you want,Not Suicide post
that sounds so terrible that is how i was when my dad still lived w me but i hope it gets better for,Potential Suicide post
no just one shortly before the soap awards judging starts,Not Suicide post
just had a conversation with about how dependent we seem to be of internet and mobile phones nowadays,Not Suicide post
oh yes i was reading that one,Not Suicide post
my life is so miserable and it is not getting better,Potential Suicide post
you sau i stood up at 8 then off to offenbach home outside sunshine love you,Not Suicide post
she is not tired,Not Suicide post
rt being a single mommy was never part of the plan but i wake up everyday and do my shit,Potential Suicide post
but what bezos de blasio and cuomo have down is walked into our little lego town kicked all of our lego towers a,Potential Suicide post
i want money,Not Suicide post
how was it so i know what to expect,Not Suicide post
mmm mummy s culinary skills has been improving smells so good i am loving home cooked food,Not Suicide post
i need to put myself to rest i have crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post
brushin mah teef secularly,Not Suicide post
i will be in london today wave if you see me,Not Suicide post
i am looking for the berocca then all will be well,Not Suicide post
thank you i thought it was pass it around have a great day love ur stuff,Not Suicide post
i wanna die i do not deserve a piece of anything i do not belong anywhere i am sick and tired of everything the sa,Potential Suicide post
i fucking hate my whole family all they do is making me feel fat and i am so done with feeling bad about my body and,Potential Suicide post
i love your blog too fashion is 3,Not Suicide post
sorry for your loss this post gave me goosebumps because although i haven t thought of suicide your d,Potential Suicide post
ha ha i started something with the rocquestar thing did not i,Not Suicide post
photoboth is black and white and wayyyyy old we call him herbert lol i love him he s like a living legend gotta love berlin 3,Not Suicide post
the one we were looking out for,Not Suicide post
he want to kill her,Not Suicide post
u understand what the fuck i am doing wrong with my life,Potential Suicide post
a i really wish i could be there to give ya some serious tlc rachel hun sending ya huge hugz and kisses,Not Suicide post
looking for help on testing prawn pdfs with cucumber all i can find is prawn and cucumber salad recipes,Not Suicide post
he should tell them that his sister fixed it,Not Suicide post
something weird in that i could not stop thinking about him could not sleep then out of some old papers a card i di,Potential Suicide post
congratulations john i am a creepy actor not a sweet actor,Not Suicide post
he he thanks,Not Suicide post
in the photoshop,Not Suicide post
normal workday for me i do still have plans aspirations to submit some info for the miz mag honest i do,Not Suicide post
easy way is to go to mbk and get it hacked got a cn rom on his th phone,Not Suicide post
and i just do not want to fucking be here anymore please someone just fucking end me because i know itll be worse for everyone if i do it myself and fuck do i want to but please please someone just kill me please,Potential Suicide post
i am tired,Not Suicide post
